timestamp,rank,world_size,hidden_size,moe_ffn_hidden_size,num_experts,topk,micro_batch_size,seq_length,num_tokens,dtype,deepep_num_cu,permute_fusion,deepep_use_cuda_num_tokens_per_expert,sync_free_stage,mode,stage,mean_ms,median_ms,p99_ms
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,token_dispatch,0.09641810059547425,0.0887410007417202,0.17924100160598755
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,dispatch_postprocess,0.1665971338748932,0.16854099929332733,0.17420099675655365
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,grouped_gemm_fc1,0.5125330666700999,0.5083630084991455,0.5450040102005005
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,swiglu_with_probs,0.0204908000305295,0.020380000583827496,0.022520000115036964
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,grouped_gemm_fc2,0.2969287673632304,0.29718200862407684,0.304641991853714
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,combine_preprocess,0.008266766695305705,0.007960000075399876,0.011880000121891499
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,token_combine,0.0833911666025718,0.07174050062894821,0.22628100216388702
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,combine_postprocess,0.004520099967097243,0.004480000119656324,0.0047599999234080315
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,e2e_forward,1.326276163260142,1.2711090445518494,1.5325310230255127
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,dispatch_preprocess,0.008722666588922342,0.007939999923110008,0.012679999694228172
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,token_dispatch,0.10543413360913595,0.09478100016713142,0.17864200472831726
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,dispatch_postprocess,0.16419853369394938,0.16182100027799606,0.1923609972000122
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,grouped_gemm_fc1,0.5119555622339249,0.5053240060806274,0.5507240295410156
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,swiglu_with_probs,0.02105356672157844,0.021040000021457672,0.02191999927163124
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,grouped_gemm_fc2,0.2988114684820175,0.2971220016479492,0.31220299005508423
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,combine_preprocess,0.009018733290334542,0.00860000029206276,0.013159999623894691
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,token_combine,0.14509176562229792,0.09484049677848816,0.19512200355529785
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,combine_postprocess,0.004533333284780383,0.004480000119656324,0.004639999940991402
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,e2e_forward,1.3445069313049316,1.2725090384483337,1.5155309438705444
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,dispatch_preprocess,0.008680033326769868,0.008080000057816505,0.011239999905228615
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,token_dispatch,0.10796353270610173,0.09826100245118141,0.1998409926891327
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,dispatch_postprocess,0.16065850059191386,0.15738099813461304,0.19600200653076172
2026-05-27T07:09:48,0,8,7168,2048,256,8,2,4096,8192,bf16,80,True,True,1,fwd,grouped_gemm_fc1,0.5033236016829808,0.5026235282421112,0.5140439867973328
